ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
4001,30000.0,2,1,2,29,2,-1,-1,-1,2,0,2030.0,1533.0,3897.0,6978.0,4081.0,3686.0,1533.0,3897.0,4081.0,0.0,155.0,96.0,0
4002,160000.0,2,1,1,29,-1,-1,-2,-1,-1,-1,1778.0,0.0,0.0,150.0,150.0,989.0,0.0,0.0,150.0,150.0,989.0,0.0,1
4003,200000.0,1,1,1,35,0,0,0,0,0,0,199891.0,198608.0,115177.0,116226.0,139737.0,187728.0,8500.0,6000.0,4000.0,25000.0,50000.0,70000.0,1
4004,120000.0,1,3,2,25,0,0,2,0,0,-1,81129.0,72699.0,39909.0,18334.0,7382.0,19801.0,7504.0,29.0,10004.0,6.0,19824.0,18129.0,0
4005,230000.0,2,1,1,38,0,-1,-1,-1,-1,-1,12907.0,316.0,1156.0,316.0,316.0,316.0,316.0,1156.0,316.0,316.0,316.0,316.0,0
4006,20000.0,2,3,1,42,-1,-1,-1,-1,-1,-1,10665.0,637.0,11869.0,7312.0,1868.0,1470.0,637.0,11869.0,7314.0,2274.0,1470.0,2200.0,0
4007,10000.0,1,3,2,46,2,2,3,3,3,3,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4008,100000.0,2,3,2,24,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,2483.0,0.0,0.0,0.0,0.0,2483.0,0.0,80.0,0
4009,130000.0,2,2,2,24,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4010,50000.0,1,2,2,47,0,0,0,0,0,0,91481.0,47099.0,47486.0,24769.0,23029.0,23495.0,3956.0,1365.0,848.0,1000.0,1000.0,1000.0,0
4011,140000.0,2,3,2,31,0,0,0,0,0,0,92636.0,94641.0,96667.0,98883.0,79972.0,81642.0,3500.0,3600.0,3900.0,3000.0,3000.0,3200.0,0
4012,50000.0,1,2,2,49,0,0,0,0,0,0,47864.0,99572.0,50396.0,9430.0,9638.0,9801.0,3473.0,2294.0,328.0,350.0,323.0,312.0,0
4013,360000.0,1,1,2,29,-2,-2,-2,-2,-2,-2,3206.0,2347.0,3770.0,3466.0,1630.0,2931.0,2358.0,3788.0,3483.0,1638.0,2946.0,16950.0,0
4014,20000.0,2,2,2,22,4,3,2,2,2,2,19529.0,18937.0,18335.0,19530.0,19076.0,20444.0,0.0,0.0,1500.0,0.0,1700.0,0.0,1
4015,110000.0,2,2,2,33,0,0,0,0,0,0,107028.0,106818.0,108730.0,112035.0,48492.0,43413.0,4000.0,3783.0,6488.0,4850.0,2000.0,6446.0,0
4016,100000.0,1,2,2,33,5,4,3,2,2,2,90822.0,88562.0,86256.0,87150.0,85636.0,91007.0,0.0,0.0,3200.0,0.0,6803.0,6950.0,1
4017,260000.0,2,1,1,39,0,0,0,0,0,0,256557.0,188370.0,186778.0,184132.0,189947.0,89016.0,6726.0,6637.0,7784.0,10000.0,3500.0,3434.0,0
4018,50000.0,2,1,2,23,0,0,0,0,0,0,46750.0,45985.0,26675.0,16948.0,16303.0,18019.0,1505.0,2000.0,592.0,604.0,2000.0,2000.0,0
4019,360000.0,2,2,1,39,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4020,30000.0,2,2,1,27,2,2,2,2,2,2,27896.0,26835.0,28690.0,27633.0,29184.0,28776.0,0.0,2659.0,0.0,2309.0,1087.0,0.0,1
4021,50000.0,1,2,2,23,0,0,0,0,0,0,49798.0,50795.0,50150.0,9658.0,10011.0,9345.0,2193.0,2040.0,330.0,492.0,332.0,500.0,0
4022,270000.0,2,2,2,31,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4023,250000.0,2,1,1,44,-2,-2,-2,-2,-2,-1,4976.0,5417.0,7948.0,1797.0,1580.0,12573.0,5417.0,7948.0,1797.0,1580.0,12573.0,4338.0,0
4024,250000.0,1,1,2,48,-2,-1,-1,-1,0,-1,5241.0,2738.0,2360.0,6976.0,3701.0,2872.0,2754.0,2377.0,7006.0,11.0,2981.0,0.0,0
4025,120000.0,2,2,1,24,1,-2,-2,-2,-1,0,0.0,0.0,0.0,0.0,4629.0,5551.0,0.0,0.0,0.0,4629.0,1000.0,1915.0,0
4026,250000.0,2,3,2,36,-1,0,0,0,0,0,44242.0,58876.0,73068.0,102311.0,75543.0,88283.0,25000.0,24000.0,30000.0,25000.0,30000.0,25000.0,0
4027,260000.0,2,2,2,29,-1,-1,-1,-1,-1,-1,1267.0,553.0,0.0,202.0,11990.0,3359.0,553.0,0.0,202.0,11990.0,3359.0,1035.0,0
4028,240000.0,1,2,1,39,2,0,0,0,0,0,234661.0,234364.0,235982.0,239281.0,244329.0,249130.0,10200.0,10200.0,8725.0,9068.0,9068.0,15000.0,0
4029,60000.0,2,2,2,27,0,0,0,0,0,0,18224.0,19928.0,20939.0,21291.0,21734.0,22184.0,2000.0,1648.0,1000.0,936.0,962.0,3013.0,0
4030,250000.0,2,1,1,40,-1,-1,-1,0,-1,-1,326.0,326.0,652.0,326.0,326.0,326.0,326.0,652.0,0.0,326.0,326.0,326.0,1
4031,100000.0,2,2,2,26,0,0,0,0,0,0,98542.0,82569.0,87486.0,84536.0,76008.0,69865.0,3326.0,8003.0,2745.0,2689.0,2896.0,2731.0,0
4032,150000.0,2,1,2,35,1,-1,-1,-2,-2,-1,0.0,1070.0,-240.0,-240.0,-240.0,390.0,1070.0,0.0,0.0,0.0,1170.0,390.0,0
4033,170000.0,2,1,1,45,0,0,0,0,0,0,165243.0,156688.0,151405.0,127090.0,126388.0,126399.0,7067.0,6443.0,4617.0,4711.0,4673.0,4603.0,0
4034,710000.0,2,1,2,32,0,0,0,0,0,0,28585.0,31719.0,34854.0,35774.0,35524.0,35047.0,3561.0,3696.0,1616.0,3024.0,5011.0,2011.0,0
4035,20000.0,1,2,1,50,0,0,0,0,2,0,6620.0,7556.0,8570.0,10020.0,9715.0,10153.0,1200.0,1300.0,1600.0,0.0,600.0,600.0,0
4036,360000.0,2,2,2,36,0,0,0,0,0,0,83412.0,77205.0,16250.0,13600.0,12640.0,0.0,3700.0,1123.0,500.0,640.0,0.0,0.0,0
4037,150000.0,2,3,1,60,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4038,150000.0,2,3,1,49,-1,-1,-1,-1,0,-1,3114.0,23946.0,7838.0,7642.0,8009.0,10800.0,23979.0,7838.0,7642.0,367.0,10800.0,5068.0,0
4039,50000.0,1,3,2,58,0,0,0,0,0,0,7556.0,7312.0,6959.0,5813.0,3985.0,3169.0,1140.0,1048.0,163.0,135.0,151.0,2000.0,0
4040,140000.0,2,3,1,38,2,2,0,0,2,2,122283.0,118913.0,120435.0,139795.0,142950.0,140505.0,0.0,5000.0,21500.0,5500.0,0.0,5000.0,0
4041,250000.0,1,1,1,42,1,-2,-1,-1,-1,-1,-8.0,-8.0,1632.0,-88.0,17451.0,43978.0,0.0,1640.0,0.0,17539.0,44197.0,1758.0,0
4042,20000.0,1,2,2,36,0,0,2,2,3,2,11423.0,13976.0,13455.0,15227.0,14699.0,14313.0,2749.0,0.0,2000.0,0.0,0.0,1230.0,0
4043,360000.0,2,2,1,42,-2,-2,-2,-2,-2,-2,2333.0,6295.0,0.0,0.0,1070.0,0.0,6295.0,0.0,0.0,1070.0,0.0,0.0,0
4044,160000.0,2,2,1,34,-1,-1,-1,-1,-1,-1,2734.0,0.0,625.0,406.0,338.0,0.0,0.0,625.0,406.0,338.0,0.0,0.0,1
4045,180000.0,2,2,1,30,0,0,0,0,0,0,27225.0,28245.0,26743.0,28943.0,30943.0,0.0,1765.0,1000.0,2200.0,2000.0,0.0,0.0,0
4046,50000.0,1,2,2,23,0,0,0,0,0,0,28569.0,27693.0,20401.0,17510.0,18038.0,16145.0,1400.0,1600.0,600.0,771.0,1000.0,305.0,0
4047,50000.0,1,2,2,45,0,0,0,2,0,0,19834.0,19387.0,22574.0,20483.0,20121.0,20191.0,1340.0,5000.0,0.0,729.0,793.0,642.0,0
4048,220000.0,2,1,1,60,2,2,2,2,2,0,19024.0,20424.0,19798.0,21468.0,20986.0,22469.0,2000.0,0.0,2000.0,0.0,2000.0,2000.0,1
4049,150000.0,1,2,1,39,0,0,0,2,2,2,76415.0,78836.0,87265.0,85084.0,93323.0,91783.0,4150.0,10575.0,0.0,9717.0,0.0,3300.0,1
4050,160000.0,1,2,1,40,-1,-1,-1,-2,-2,-2,1672.0,2927.0,0.0,0.0,0.0,0.0,2941.0,0.0,0.0,0.0,0.0,0.0,0
4051,160000.0,2,3,2,30,-1,-1,-1,-1,0,-1,1055.0,2579.0,1155.0,3334.0,1055.0,8824.0,2579.0,1155.0,3334.0,0.0,8824.0,1055.0,0
4052,200000.0,2,2,1,29,0,0,0,0,0,0,73700.0,73624.0,73928.0,72060.0,72393.0,72969.0,3304.0,3815.0,3004.0,3006.0,4012.0,3012.0,0
4053,190000.0,1,1,2,32,0,0,2,0,0,0,5484.0,6192.0,4988.0,3440.0,3341.0,3228.0,2450.0,0.0,200.0,1000.0,1000.0,1000.0,0
4054,50000.0,2,2,1,32,0,0,0,0,0,0,47445.0,37395.0,9858.0,8536.0,9674.0,9591.0,1697.0,1118.0,285.0,299.0,1110.0,40207.0,1
4055,50000.0,1,2,2,24,-1,-1,-1,-1,0,-1,390.0,390.0,390.0,780.0,390.0,390.0,390.0,390.0,780.0,0.0,390.0,0.0,0
4056,140000.0,2,2,2,35,0,0,0,0,0,0,88394.0,90252.0,92775.0,93606.0,95301.0,96653.0,3280.0,4270.0,3500.0,3606.0,3500.0,3550.0,0
4057,60000.0,2,2,2,26,0,0,0,0,2,2,48867.0,49979.0,51316.0,54046.0,55036.0,53985.0,2200.0,2470.0,4200.0,2000.0,0.0,6200.0,0
4058,10000.0,2,3,1,24,0,0,0,0,0,0,8283.0,8754.0,9436.0,5856.0,6059.0,5999.0,1500.0,1246.0,210.0,298.0,120.0,0.0,0
4059,400000.0,1,1,2,28,1,-1,2,-1,0,0,-1320.0,5773.0,3944.0,87146.0,90818.0,96316.0,9952.0,10.0,87170.0,10013.0,10008.0,20039.0,0
4060,500000.0,2,1,2,44,0,0,0,0,0,0,380502.0,295489.0,206296.0,354521.0,358009.0,394932.0,10481.0,12042.0,160042.0,46043.0,53181.0,15071.0,0
4061,320000.0,2,2,2,24,-1,-1,-1,0,-1,-1,44500.0,51257.0,54659.0,35196.0,71244.0,35299.0,51334.0,54726.0,103.0,71404.0,35448.0,47699.0,0
4062,240000.0,1,1,1,50,-1,-1,-2,-2,-2,-2,2115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4063,110000.0,2,3,1,44,0,0,0,0,0,0,128341.0,131227.0,133490.0,135888.0,137708.0,78581.0,4861.0,4300.0,3500.0,3500.0,2564.0,2300.0,0
4064,240000.0,1,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4065,50000.0,2,3,2,31,2,2,2,0,0,0,26411.0,28902.0,28139.0,28697.0,35084.0,29983.0,3231.0,0.0,1026.0,1063.0,1397.0,6212.0,1
4066,100000.0,2,3,2,46,2,-1,2,0,0,-2,216.0,964.0,964.0,365.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,301.0,0
4067,50000.0,1,1,2,25,-1,-1,-1,-1,-1,-1,25045.0,15180.0,6964.0,7604.0,2173.0,6586.0,15522.0,6964.0,7604.0,2173.0,6586.0,11890.0,0
4068,50000.0,1,3,2,24,-1,0,0,-1,-1,-2,25437.0,25873.0,0.0,100.0,0.0,0.0,2000.0,0.0,100.0,0.0,0.0,0.0,1
4069,50000.0,1,2,1,43,-2,-1,0,0,2,0,1040.0,4254.0,6955.0,9486.0,9191.0,12524.0,4254.0,2962.0,5191.0,0.0,3500.0,3000.0,1
4070,150000.0,2,2,2,30,0,0,2,2,2,2,63150.0,68125.0,66432.0,73312.0,72015.0,76521.0,6000.0,0.0,8023.0,0.0,5700.0,0.0,0
4071,200000.0,2,2,1,37,-2,-2,-2,-2,-2,-2,4157.0,601.0,432.0,1602.0,3017.0,937.0,606.0,432.0,1602.0,3017.0,937.0,1275.0,0
